Title,Genre,Cast Quality,Production,Budget,Box Office,Critical Acclaim,Actors
Baahubali: The Beginning,Action,A-list,Arka Media Works,High,Blockbuster,9.0,"Prabhas, Rana Daggubati, Anushka Shetty"
Baahubali: The Conclusion,Action,A-list,Arka Media Works,High,Blockbuster,9.2,"Prabhas, Rana Daggubati, Anushka Shetty"
Kabali,Action,A-list,V Creations,High,Blockbuster,8.0,"Rajinikanth, Radhika Apte, Winston Chao"
Enthiran,Sci-Fi,A-list,Sun Pictures,High,Blockbuster,8.5,"Rajinikanth, Aishwarya Rai Bachchan, Danny Denzongpa"
Enthiran 2,Sci-Fi,A-list,Lyca Productions,High,Blockbuster,8.0,"Rajinikanth, Akshay Kumar, Amy Jackson"
Viswasam,Drama,A-list,Sathya Jyothi Films,Medium,Blockbuster,7.5,"Ajith Kumar, Nayanthara, Jagapathi Babu"
Bigil,Action,A-list,AGS Entertainment,High,Blockbuster,7.8,"Vijay, Nayanthara, Jackie Shroff"
Mersal,Action,A-list,Thenandal Studio Limited,High,Blockbuster,8.1,"Vijay, Samantha Akkineni, Kajal Aggarwal"
Petta,Action,A-list,Sun Pictures,High,Blockbuster,7.4,"Rajinikanth, Vijay Sethupathi, Simran"
Sarkar,Action,A-list,Sun Pictures,High,Blockbuster,7.0,"Vijay, Keerthy Suresh, Varalaxmi Sarathkumar"
Vikram Vedha,Thriller,A-list,Y NOT Studios,Medium,Blockbuster,8.7,"R. Madhavan, Vijay Sethupathi, Shraddha Srinath"
Kaala,Action,A-list,Wunderbar Films,High,Blockbuster,7.5,"Rajinikanth, Nana Patekar, Easwari Rao"
Kaithi,Thriller,A-list,Dream Warrior Pictures,Medium,Hit,8.5,"Karthi, Narain, Dheena"
96,Romance,A-list,Madras Enterprises,Medium,Hit,8.6,"Vijay Sethupathi, Trisha Krishnan, Janagaraj"
Vada Chennai,Drama,A-list,Wunderbar Films,Medium,Hit,8.5,"Dhanush, Ameer, Andrea Jeremiah"
Asuran,Action,A-list,V Creations,Medium,Blockbuster,8.8,"Dhanush, Manju Warrier, Ken Karunas"
Master,Action,A-list,Xavier Britto,High,Blockbuster,7.8,"Vijay, Vijay Sethupathi, Malavika Mohanan  "
Soorarai Pottru,Drama,A-list,2D Entertainment,Medium,Blockbuster,9.1,"Suriya, Aparna Balamurali, Paresh Rawal"
Karnan,Drama,A-list,V Creations,Medium,Hit,8.7,"Dhanush, Lal, Yogi Babu "
Jai Bhim,Drama,A-list,2D Entertainment,Medium,Hit,9.3,"Suriya, Prakash Raj, Lijomol Jose"
Ratsasan,Thriller,B-list,Axess Film Factory,Low,Hit,8.7,"Vishnu Vishal, Amala Paul, Radha Ravi"
Maanagaram,Thriller,B-list,Potential Studios,Low,Hit,8.4,"Sundeep Kishan, Sri, Regina Cassandra"
Aruvi,Drama,B-list,Dream Warrior Pictures,Low,Hit,8.6,"Aditi Balan, Anjali Varadhan, Lakshmi Gopalaswamy"
Super Deluxe,Drama,A-list,Thiagarajan Kumararaja,Medium,Hit,8.4,"Vijay Sethupathi, Fahadh Faasil, Samantha Akkineni"
Thadam,Thriller,B-list,Redhan The Cinema People,Low,Hit,8.2,"Arun Vijay, Tanya Hope, Smruthi Venkat"
Imaikkaa Nodigal,Thriller,A-list,Cameo Films India,Medium,Hit,7.6,"Nayanthara, Atharvaa, Anurag Kashyap"
